Date,Portfolio_Value,Regime,Holdings
2018-03-02,104553.35617518528,0.0,{'BIL': 1.0}
2018-03-05,104553.35617518528,0.0,{'BIL': 1.0}
2018-03-06,104553.35617518528,0.0,{'BIL': 1.0}
2018-03-07,104553.35617518528,0.0,{'BIL': 1.0}
2018-03-08,104541.97314906224,0.0,{'BIL': 1.0}
2018-03-09,104564.79249262913,0.0,{'BIL': 1.0}
2018-03-12,104576.26078486546,0.0,{'BIL': 1.0}
2018-03-13,104576.26078486546,0.0,{'BIL': 1.0}
2018-03-14,104576.26078486546,0.0,{'BIL': 1.0}
2018-03-15,104564.79249262913,0.0,{'BIL': 1.0}
2018-03-16,104587.66512751683,0.0,{'BIL': 1.0}
